Name,Course Name,Holes,Public/Private,Phone,Address
Desert Dunes Golf Club, Desert Dunes Course,18 holes,Public,(760) 251-5370,"19300 Palm Dr Desert Hot Springs, CA 92240-7333 "
Mission Hills Country Club, Tournament Course,18 holes,Private,(760) 324-9400,"34600 Mission Hills Dr Rancho Mirage, CA 92270-1375 "
Mission Hills Country Club, Arnold Palmer Course,18 holes,Private,(760) 324-9400,"34600 Mission Hills Dr Rancho Mirage, CA 92270-1375 "
Mission Hills Country Club, Pete Dye Course,18 holes,Private,(760) 324-9400,"34600 Mission Hills Dr Rancho Mirage, CA 92270-1375 "
Mission Hills North Gary Player Signature Course, Gary Player Signature Course,18 holes,Public,(760) 699-0111,"70705 Ramon Rd Rancho Mirage, CA 92270-5602 "
Tamarisk Country Club, Tamarisk Course,18 holes,Private,(760) 328-2141,"70240 Frank Sinatra Dr Rancho Mirage, CA 92270-2599 "
The Westin Mission Hills Resort Pete Dye Course, Pete Dye Resort Course,18 holes,Public,(760) 328-3198,"71333 Dinah Shore Dr Rancho Mirage, CA 92270-1501 "
The Club At Morningside, Morningside Course,18 holes,Private,(760) 321-1555,"39033 Morningside Dr Rancho Mirage, CA 92270-3050 "
The Sands RV & Golf Resort, Sands Course,9 holes,Public,(800) 772-7808,"16400 Bubbling Wells Rd Desert Hot Springs, CA 92240-9555 "
Thunderbird Country Club, Thunderbird Course,18 holes,Private,(760) 328-2161,"70737 Country Club Dr Rancho Mirage, CA 92270-3500 "
Hidden Springs Country Club, Hidden Springs Course,9 holes,Public,(760) 288-4653,"15500 Bubbling Wells Rd Desert Hot Springs, CA 92240-7043 "
The Springs Country Club, Springs Course,18 holes,Private,(760) 324-8292,"1 Duke Dr Rancho Mirage, CA 92270-3647 "
Sunnylands Golf Course At Annenberg Retreat, Sunnyland Course,9 holes,Private,(760) 328-2829,"37977 Bob Hope Dr Rancho Mirage, CA 92270-2008 "
Desert Island Country Club, The S Course,18 holes,Private,(760) 328-0841,"71777 Frank Sinatra Dr Rancho Mirage, CA 92270-3144 "
Rancho Mirage Country Club, Rancho Mirage Course,18 holes,Public,(760) 324-4711,"38500 Bob Hope Dr Rancho Mirage, CA 92270-3259 "
Desert Crest Country Club, Desert Crest Course,9 holes,Private,(760) 329-8711,"16900 Desert Crest Ave Desert Hot Springs, CA 92241-8235 "
Sunrise Country Club, Sunrise Course,18 holes,Private,(760) 328-1139,"71601 Country Club Dr Rancho Mirage, CA 92270-3598 "
Caliente Springs Resort, Caliente Course,9 holes,Public,(760) 660-4522,"70200 Dillon Rd Desert Hot Springs, CA 92241-7646 "
Porcupine Creek Golf Club & Private Residence, Porcupine Creek Course,18 holes,Private,(760) 250-0594,"42765 Dunes View Rd Rancho Mirage, CA 92270-4311 "
Tri Palm Estates & Country Club, Tri Palm Course,18 holes,Private,(760) 343-3497,"32610 Desert Moon Dr Thousand Palms, CA 92276-3711 "
Tri Palm Estates & Country Club, Par-3 Course,9 holes,Private,(760) 343-3497,"32610 Desert Moon Dr Thousand Palms, CA 92276-3711 "
Marriott's Shadow Ridge Golf Club, Marriott Shadow Ridge Course,18 holes,Public,(760) 674-2700,"9002 Shadow Ridge Rd Palm Desert, CA 92211-2057 "
Rancho Las Palmas Country Club, North Course,9 holes,Public,(866) 423-1195,"42000 Bob Hope Dr Rancho Mirage, CA 92270-4466 "
Rancho Las Palmas Country Club, South Course,9 holes,Public,(866) 423-1195,"42000 Bob Hope Dr Rancho Mirage, CA 92270-4466 "
Rancho Las Palmas Country Club, West Course,9 holes,Public,(866) 423-1195,"42000 Bob Hope Dr Rancho Mirage, CA 92270-4466 "
Suncrest Country Club, Suncrest Course,9 holes,Public,(760) 346-5866,"73450 Country Club Dr Palm Desert, CA 92260-8699 "
Santa Rosa Country Club, Santa Rosa Course,18 holes,Private,(760) 568-5717,"38105 Portola Ave Palm Desert, CA 92260-1201 "
Monterey Country Club, West Course,9 holes,Private,(760) 346-1115,"41500 Monterey Ave Palm Desert, CA 92260-2199 "
Monterey Country Club, East Course,9 holes,Private,(760) 346-1115,"41500 Monterey Ave Palm Desert, CA 92260-2199 "
Monterey Country Club, South Course,9 holes,Private,(760) 346-1115,"41500 Monterey Ave Palm Desert, CA 92260-2199 "
Palm Desert Greens, Palm Desert Greens Countr Course,18 holes,Private,(760) 346-2941,"73750 Country Club Dr Palm Desert, CA 92260-8663 "
Ivey Ranch Country Club, Ivey Ranch Course,9 holes,Public,(760) 343-2013,"74580 Varner Rd Thousand Palms, CA 92276-4201 "
Desert Willow Golf Resort, Firecliff Course,18 holes,Municipal,(800) 320-3323,"38995 Desert Willow Dr Palm Desert, CA 92260-1674 "
Desert Willow Golf Resort, Mountain View Course,18 holes,Municipal,(800) 320-3323,"38995 Desert Willow Dr Palm Desert, CA 92260-1674 "
Mission Lakes Country Club, Mission Lakes Course,18 holes,Public,(760) 329-8061,"8484 Clubhouse Blvd Desert Hot Springs, CA 92240-1100 "
Chaparral Country Club, Chaparral Course,18 holes,Private,(760) 340-1501,"100 Chaparral Dr Palm Desert, CA 92260-0322 "
Classic Club, Classic Course,18 holes,Public,(760) 601-3600,"75200 Classic Club Blvd Palm Desert, CA 92211-4124 "
Desert Springs Golf Club, Palm Course,18 holes,Public,(800) 331-3112,"74855 Country Club Dr Palm Desert, CA 92260-1961 "
Desert Springs Golf Club, Valley Course,18 holes,Public,(800) 331-3112,"74855 Country Club Dr Palm Desert, CA 92260-1961 "
Stone Eagle Golf Club, Stone Eagle Course,18 holes,Private,(760) 773-6165,"72500 Stone Eagle Dr Palm Desert, CA 92260-6280 "
Portola Country Club, Portola Course,18 holes,Private,(760) 346-5481,"42500 Portola Ave Palm Desert, CA 92260-1998 "
Desert Falls Country Club, Desert Falls Course,18 holes,Public,(760) 340-5646,"1111 Desert Falls Pkwy Palm Desert, CA 92211-1709 "
The Lakes Country Club, North Course,9 holes,Private,(760) 568-4321,"161 Old Ranch Rd Palm Desert, CA 92211-3211 "
The Lakes Country Club, East Course,9 holes,Private,(760) 568-4321,"161 Old Ranch Rd Palm Desert, CA 92211-3211 "
The Lakes Country Club, South Course,9 holes,Private,(760) 568-4321,"161 Old Ranch Rd Palm Desert, CA 92211-3211 "
Shadow Mountain Golf Club, Shadow Mountain Course,18 holes,Public,(760) 346-8242,"73800 Ironwood St Palm Desert, CA 92260-5531 "
The Golf Center At Palm Desert, Palm Desert Course,9 holes,Public,(760) 347-3484,"74945 Sheryl Ave Palm Desert, CA 92260-2073 "
Avondale Golf Club, Avondale Course,18 holes,Private,(760) 345-2727,"75800 Avondale Dr Palm Desert, CA 92211-7024 "
Marrakesh Country Club, Marrakesh Course,18 holes,Private,(760) 568-2660,"47000 Marrakesh Dr Palm Desert, CA 92260-5805 "
Palm Valley Country Club, Championship Course,18 holes,Private,(760) 345-2742,"39205 Palm Valley Dr Palm Desert, CA 92211-4902 "
Palm Valley Country Club, Challenge Course,18 holes,Private,(760) 345-2742,"39205 Palm Valley Dr Palm Desert, CA 92211-4902 "
Toscana Country Club, South Course,18 holes,Private,(760) 404-1444,"76009 Via Club Villa Indian Wells, CA 92210-7851 "
Toscana Country Club, North Course,18 holes,Private,(760) 404-1444,"76009 Via Club Villa Indian Wells, CA 92210-7851 "
Bighorn Golf Club, Canyons Course,18 holes,Private,(760) 773-2468,"255 Palowet Dr Palm Desert, CA 92260-7311 "
Bighorn Golf Club, Mountains Course,18 holes,Private,(760) 773-2468,"255 Palowet Dr Palm Desert, CA 92260-7311 "
Indian Ridge Country Club, Grove Course,18 holes,Private,(760) 772-7272,"76375 Country Club Dr Palm Desert, CA 92211-9512 "
Indian Ridge Country Club, Arroyo Course,18 holes,Private,(760) 772-7272,"76375 Country Club Dr Palm Desert, CA 92211-9512 "
Desert Horizons Country Club, Desert Horizons Course,18 holes,Private,(760) 340-4646,"44900 Desert Horizons Dr Indian Wells, CA 92210-7401 "
The Vintage Club, Mountain Course,18 holes,Private,(760) 862-2076,"75001 Vintage Dr W Indian Wells, CA 92210-7304 "
The Vintage Club, Desert Course,18 holes,Private,(760) 862-2076,"75001 Vintage Dr W Indian Wells, CA 92210-7304 "
Ironwood Country Club, North Course,18 holes,Private,(760) 766-1062,"73735 Irontree Dr Palm Desert, CA 92260-6910 "
Ironwood Country Club, South Course,18 holes,Private,(760) 766-1062,"73735 Irontree Dr Palm Desert, CA 92260-6910 "
The Oasis Country Club, Oasis Course,18 holes,Public,(760) 345-2715,"42330 Casbah Way Palm Desert, CA 92211-7660 "
The Reserve Club, Reserve Course,18 holes,Private,(760) 674-2240,"49400 Desert Butte Trl Indian Wells, CA 92210-7075 "
Palm Desert Resort Country Club, Palm Desert Resort Course,18 holes,Public,(760) 345-2791,"77333 Country Club Dr Palm Desert, CA 92211-9231 "
Indian Wells Golf Resort, Players Course,18 holes,Municipal,(760) 346-4653,"44500 Indian Wells Ln Indian Wells, CA 92210-8746 "
Indian Wells Golf Resort, Celebrity Course,18 holes,Municipal,(760) 346-4653,"44500 Indian Wells Ln Indian Wells, CA 92210-8746 "
Eldorado Country Club, Eldorado Course,18 holes,Private,(760) 346-8081,"46000 E Eldorado Dr Indian Wells, CA 92210-8631 "
Palm Desert Country Club, Palm Desert Course,18 holes,Public,(760) 345-0222,"77200 California Dr Palm Desert, CA 92211-7898 "
Indian Wells Country Club, Classic Course,18 holes,Private,(760) 345-2561,"46000 Club Dr Indian Wells, CA 92210-8870 "
Indian Wells Country Club, Cove Course,18 holes,Private,(760) 345-2561,"46000 Club Dr Indian Wells, CA 92210-8870 "
Woodhaven Country Club, Woodhaven Course,18 holes,Public,(760) 345-7513,"41555 Woodhaven Dr E Palm Desert, CA 92211-8119 "
Mountain Vista Golf Club At Sun City Palm Desert, San Gorgonio Course,18 holes,Public,(760) 200-2200,"38180 del Webb Blvd Palm Desert, CA 92211-1256 "
Mountain Vista Golf Club At Sun City Palm Desert, Santa Rosa Course,18 holes,Public,(760) 200-2200,"38180 del Webb Blvd Palm Desert, CA 92211-1256 "
Palm Royale Country Club, Palm Royale Course,18 holes,Public,(760) 345-9701,"78259 Indigo Dr La Quinta, CA 92253-3806 "
Bermuda Dunes Country Club, Classic One Course,9 holes,Private,(760) 360-2481,"42765 Adams St Bermuda Dunes, CA 92203-7937 "
Bermuda Dunes Country Club, Classic Two Course,9 holes,Private,(760) 360-2481,"42765 Adams St Bermuda Dunes, CA 92203-7937 "
Bermuda Dunes Country Club, The Lake Course,9 holes,Private,(760) 360-2481,"42765 Adams St Bermuda Dunes, CA 92203-7937 "
PGA West Mountain & Dunes Golf Courses, Pete Dye Mountain Course,18 holes,Public,(760) 564-7610,"50200 Avenida Vista Bonita La Quinta, CA 92253-2600 "
PGA West Mountain & Dunes Golf Courses, Pete Dye Dunes Course,18 holes,Public,(760) 564-7610,"50200 Avenida Vista Bonita La Quinta, CA 92253-2600 "
La Quinta Country Club, La Quinta Course,18 holes,Private,(760) 564-4151,"77750 Avenue 50 La Quinta, CA 92253-2204 "
Shadow Hills Golf Club South Course, South Course,18 holes,Public,(760) 200-3375,"80875 Avenue 40 Indio, CA 92203-9439 "
