Name,Course Name,Holes,Public/Private,Phone,Address,Blurb
Desert Willow Golf Resort, Firecliff Course,18 holes,Municipal,(800) 320-3323,"38995 Desert Willow Dr Palm Desert, CA 92260-1674 ","18 holes over 7,056 yards with a par of 72 (Municipal) Write a Review Check Tee Times 38995 Desert Willow Dr Palm Desert, CA 92260-1674 (800) 320-3323 4 miles from the center of Palm Desert. Write a Review Check Tee Times"
Desert Willow Golf Resort, Mountain View Course,18 holes,Municipal,(800) 320-3323,"38995 Desert Willow Dr Palm Desert, CA 92260-1674 ","18 holes over 6,913 yards with a par of 72 (Municipal) Write a Review Check Tee Times 38995 Desert Willow Dr Palm Desert, CA 92260-1674 (800) 320-3323 4 miles from the center of Palm Desert. Write a Review Check Tee Times"
Avondale Golf Club, Avondale Course,18 holes,Private,(760) 345-2727,"75800 Avondale Dr Palm Desert, CA 92211-7024 ","18 holes over 6,782 yards with a par of 72 (Private) Write a Review 75800 Avondale Dr Palm Desert, CA 92211-7024 (760) 345-2727 4 miles from the center of Palm Desert. Write a Review"
Palm Desert Resort Country Club, Palm Desert Resort Course,18 holes,Public,(760) 345-2791,"77333 Country Club Dr Palm Desert, CA 92211-9231 ","18 holes over 6,585 yards with a par of 72 (Public) Write a Review Check Tee Times 77333 Country Club Dr Palm Desert, CA 92211-9231 (760) 345-2791 4 miles from the center of Palm Desert. Write a Review Check Tee Times"
Palm Valley Country Club, Championship Course,18 holes,Private,(760) 345-2742,"39205 Palm Valley Dr Palm Desert, CA 92211-4902 ","18 holes over 6,545 yards with a par of 72 (Private) Write a Review 39205 Palm Valley Dr Palm Desert, CA 92211-4902 (760) 345-2742 4 miles from the center of Palm Desert. Write a Review"
Palm Valley Country Club, Challenge Course,18 holes,Private,(760) 345-2742,"39205 Palm Valley Dr Palm Desert, CA 92211-4902 ","18 holes over 4,232 yards with a par of 63 (Private) Write a Review 39205 Palm Valley Dr Palm Desert, CA 92211-4902 (760) 345-2742 4 miles from the center of Palm Desert. Write a Review"
Santa Rosa Country Club, Santa Rosa Course,18 holes,Private,(760) 568-5717,"38105 Portola Ave Palm Desert, CA 92260-1201 ","18 holes over 5,568 yards with a par of 70 (Private Equity) Write a Review 38105 Portola Ave Palm Desert, CA 92260-1201 (760) 568-5717 4 miles from the center of Palm Desert. Write a Review Check Tee Times"
Woodhaven Country Club, Woodhaven Course,18 holes,Public,(760) 345-7513,"41555 Woodhaven Dr E Palm Desert, CA 92211-8119 ","18 holes over 5,794 yards with a par of 70 (Public) Write a Review Check Tee Times 41555 Woodhaven Dr E Palm Desert, CA 92211-8119 (760) 345-7513 4 miles from the center of Palm Desert. Write a Review Check Tee Times"
Classic Club, Classic Course,18 holes,Public,(760) 601-3600,"75200 Classic Club Blvd Palm Desert, CA 92211-4124 ","18 holes over 7,305 yards with a par of 72 (Public) Write a Review Check Tee Times 75200 Classic Club Blvd Palm Desert, CA 92211-4124 (760) 601-3600 5 miles from the center of Palm Desert. Write a Review Check Tee Times"
Marriott's Shadow Ridge Golf Club, Marriott Shadow Ridge Course,18 holes,Public,(760) 674-2700,"9002 Shadow Ridge Rd Palm Desert, CA 92211-2057 ","18 holes over 6,932 yards with a par of 71 (Public) Write a Review 9002 Shadow Ridge Rd Palm Desert, CA 92211-2057 (760) 674-2700 5 miles from the center of Palm Desert. Write a Review Check Tee Times"
Mountain Vista Golf Club At Sun City Palm Desert, San Gorgonio Course,18 holes,Public,(760) 200-2200,"38180 del Webb Blvd Palm Desert, CA 92211-1256 ","18 holes over 6,669 yards with a par of 72 (Public) Write a Review Check Tee Times 38180 del Webb Blvd Palm Desert, CA 92211-1256 (760) 200-2200 6 miles from the center of Palm Desert. Write a Review Check Tee Times"
Mountain Vista Golf Club At Sun City Palm Desert, Santa Rosa Course,18 holes,Public,(760) 200-2200,"38180 del Webb Blvd Palm Desert, CA 92211-1256 ","18 holes over 6,669 yards with a par of 72 (Public) Write a Review Check Tee Times 38180 del Webb Blvd Palm Desert, CA 92211-1256 (760) 200-2200 6 miles from the center of Palm Desert. Write a Review Check Tee Times"
The Vintage Club, Mountain Course,18 holes,Private,(760) 862-2076,"75001 Vintage Dr W Indian Wells, CA 92210-7304 ","18 holes over 7,138 yards with a par of 72 (Private) Write a Review 75001 Vintage Dr W Indian Wells, CA 92210-7304 (760) 862-2076 1 mile from the center of Palm Desert. Write a Review"
The Vintage Club, Desert Course,18 holes,Private,(760) 862-2076,"75001 Vintage Dr W Indian Wells, CA 92210-7304 ","18 holes over 6,301 yards with a par of 72 (Private) Write a Review 75001 Vintage Dr W Indian Wells, CA 92210-7304 (760) 862-2076 1 mile from the center of Palm Desert. Write a Review"
Desert Horizons Country Club, Desert Horizons Course,18 holes,Private,(760) 340-4646,"44900 Desert Horizons Dr Indian Wells, CA 92210-7401 ","18 holes over 6,909 yards with a par of 72 (Private) Write a Review 44900 Desert Horizons Dr Indian Wells, CA 92210-7401 (760) 340-4646 1 mile from the center of Palm Desert. Write a Review"
Eldorado Country Club, Eldorado Course,18 holes,Private,(760) 346-8081,"46000 E Eldorado Dr Indian Wells, CA 92210-8631 ","18 holes over 6,806 yards with a par of 72 (Private) Write a Review 46000 E Eldorado Dr Indian Wells, CA 92210-8631 (760) 346-8081 2 miles from the center of Palm Desert. Write a Review"
Toscana Country Club, South Course,18 holes,Private,(760) 404-1444,"76009 Via Club Villa Indian Wells, CA 92210-7851 ","18 holes over 7,349 yards with a par of 72 (Private) Write a Review 76009 Via Club Villa Indian Wells, CA 92210-7851 (760) 404-1444 2 miles from the center of Palm Desert. Write a Review"
Toscana Country Club, North Course,18 holes,Private,(760) 404-1444,"76009 Via Club Villa Indian Wells, CA 92210-7851 ","18 holes over 7,045 yards with a par of 72 (Private) Write a Review 76009 Via Club Villa Indian Wells, CA 92210-7851 (760) 404-1444 2 miles from the center of Palm Desert. Write a Review"
The Reserve Club, Reserve Course,18 holes,Private,(760) 674-2240,"49400 Desert Butte Trl Indian Wells, CA 92210-7075 ","18 holes over 7,051 yards with a par of 72 (Private) Write a Review 49400 Desert Butte Trl Indian Wells, CA 92210-7075 (760) 674-2240 2 miles from the center of Palm Desert. Write a Review"
Indian Wells Golf Resort, Players Course,18 holes,Municipal,(760) 346-4653,"44500 Indian Wells Ln Indian Wells, CA 92210-8746 ","18 holes over 7,376 yards with a par of 72 (Municipal) Write a Review Check Tee Times 44500 Indian Wells Ln Indian Wells, CA 92210-8746 (760) 346-4653 2 miles from the center of Palm Desert. Write a Review Check Tee Times"
Indian Wells Golf Resort, Celebrity Course,18 holes,Municipal,(760) 346-4653,"44500 Indian Wells Ln Indian Wells, CA 92210-8746 ","18 holes over 7,050 yards with a par of 72 (Municipal) Write a Review Check Tee Times 44500 Indian Wells Ln Indian Wells, CA 92210-8746 (760) 346-4653 2 miles from the center of Palm Desert. Write a Review Check Tee Times"
Indian Wells Country Club, Classic Course,18 holes,Private,(760) 345-2561,"46000 Club Dr Indian Wells, CA 92210-8870 ","18 holes over 6,478 yards with a par of 72 (Private) Write a Review 46000 Club Dr Indian Wells, CA 92210-8870 (760) 345-2561 2 miles from the center of Palm Desert. Write a Review"
Indian Wells Country Club, Cove Course,18 holes,Private,(760) 345-2561,"46000 Club Dr Indian Wells, CA 92210-8870 ","18 holes over 6,558 yards with a par of 72 (Private) Write a Review 46000 Club Dr Indian Wells, CA 92210-8870 (760) 345-2561 2 miles from the center of Palm Desert. Write a Review"
Rancho Las Palmas Country Club, North Course,9 holes,Public,(866) 423-1195,"42000 Bob Hope Dr Rancho Mirage, CA 92270-4466 ","9 holes over 3,005 yards with a par of 36 (Public) Write a Review 42000 Bob Hope Dr Rancho Mirage, CA 92270-4466 (866) 423-1195 3 miles from the center of Palm Desert. Write a Review Check Tee Times"
Rancho Las Palmas Country Club, South Course,9 holes,Public,(866) 423-1195,"42000 Bob Hope Dr Rancho Mirage, CA 92270-4466 ","9 holes over 3,020 yards with a par of 35 (Public) Write a Review Check Tee Times 42000 Bob Hope Dr Rancho Mirage, CA 92270-4466 (866) 423-1195 3 miles from the center of Palm Desert. Write a Review Check Tee Times"
Rancho Las Palmas Country Club, West Course,9 holes,Public,(866) 423-1195,"42000 Bob Hope Dr Rancho Mirage, CA 92270-4466 ","9 holes over 3,108 yards with a par of 35 (Public) Write a Review 42000 Bob Hope Dr Rancho Mirage, CA 92270-4466 (866) 423-1195 3 miles from the center of Palm Desert. Write a Review Check Tee Times"
Porcupine Creek Golf Club & Private Residence, Porcupine Creek Course,18 holes,Private,(760) 250-0594,"42765 Dunes View Rd Rancho Mirage, CA 92270-4311 ","18 holes over 6,718 yards with a par of 72 (Private) Write a Review 42765 Dunes View Rd Rancho Mirage, CA 92270-4311 (760) 250-0594 4 miles from the center of Palm Desert. Write a Review"
La Quinta Country Club, La Quinta Course,18 holes,Private,(760) 564-4151,"77750 Avenue 50 La Quinta, CA 92253-2204 ","18 holes over 7,060 yards with a par of 72 (Private) Write a Review 77750 Avenue 50 La Quinta, CA 92253-2204 (760) 564-4151 4 miles from the center of Palm Desert. Write a Review"
PGA West Mountain & Dunes Golf Courses, Pete Dye Mountain Course,18 holes,Public,(760) 564-7610,"50200 Avenida Vista Bonita La Quinta, CA 92253-2600 ","18 holes over 6,756 yards with a par of 72 (Public) Write a Review Check Tee Times 50200 Avenida Vista Bonita La Quinta, CA 92253-2600 (760) 564-7610 4 miles from the center of Palm Desert. Write a Review Check Tee Times"
PGA West Mountain & Dunes Golf Courses, Pete Dye Dunes Course,18 holes,Public,(760) 564-7610,"50200 Avenida Vista Bonita La Quinta, CA 92253-2600 ","18 holes over 6,074 yards with a par of 72 (Public) Write a Review Check Tee Times 50200 Avenida Vista Bonita La Quinta, CA 92253-2600 (760) 564-7610 4 miles from the center of Palm Desert. Write a Review Check Tee Times"
Palm Royale Country Club, Palm Royale Course,18 holes,Public,(760) 345-9701,"78259 Indigo Dr La Quinta, CA 92253-3806 ","18 holes over 1,992 yards with a par of 54 (Public) Write a Review Check Tee Times 78259 Indigo Dr La Quinta, CA 92253-3806 (760) 345-9701 4 miles from the center of Palm Desert. Write a Review Check Tee Times"
Sunrise Country Club, Sunrise Course,18 holes,Private,(760) 328-1139,"71601 Country Club Dr Rancho Mirage, CA 92270-3598 ","18 holes over 3,837 yards with a par of 64 (Private) Write a Review 71601 Country Club Dr Rancho Mirage, CA 92270-3598 (760) 328-1139 4 miles from the center of Palm Desert. Write a Review"
Rancho Mirage Country Club, Rancho Mirage Course,18 holes,Public,(760) 324-4711,"38500 Bob Hope Dr Rancho Mirage, CA 92270-3259 ","18 holes over 6,111 yards with a par of 70 (Public) Write a Review 38500 Bob Hope Dr Rancho Mirage, CA 92270-3259 (760) 324-4711 5 miles from the center of Palm Desert. Write a Review Check Tee Times"
The Springs Country Club, Springs Course,18 holes,Private,(760) 324-8292,"1 Duke Dr Rancho Mirage, CA 92270-3647 ","18 holes over 6,637 yards with a par of 72 (Private) Write a Review 1 Duke Dr Rancho Mirage, CA 92270-3647 (760) 324-8292 5 miles from the center of Palm Desert. Write a Review"
Thunderbird Country Club, Thunderbird Course,18 holes,Private,(760) 328-2161,"70737 Country Club Dr Rancho Mirage, CA 92270-3500 ","18 holes over 6,460 yards with a par of 71 (Private) Write a Review 70737 Country Club Dr Rancho Mirage, CA 92270-3500 (760) 328-2161 5 miles from the center of Palm Desert. Write a Review"
Desert Island Country Club, The S Course,18 holes,Private,(760) 328-0841,"71777 Frank Sinatra Dr Rancho Mirage, CA 92270-3144 ","18 holes over 6,715 yards with a par of 72 (Private) Write a Review 71777 Frank Sinatra Dr Rancho Mirage, CA 92270-3144 (760) 328-0841 5 miles from the center of Palm Desert. Write a Review"
Rancho La Quinta Country Club, Robert Trent Jones Course,18 holes,Private,(760) 777-7748,"79301 Cascadas Cir La Quinta, CA 92253-6251 ","18 holes over 7,068 yards with a par of 72 (Private) Write a Review 79301 Cascadas Cir La Quinta, CA 92253-6251 (760) 777-7748 5 miles from the center of Palm Desert. Write a Review"
Rancho La Quinta Country Club, Jerry Pate Course,18 holes,Private,(760) 777-7748,"79301 Cascadas Cir La Quinta, CA 92253-6251 ","18 holes over 7,068 yards with a par of 72 (Private) Write a Review 79301 Cascadas Cir La Quinta, CA 92253-6251 (760) 777-7748 5 miles from the center of Palm Desert. Write a Review"
Tradition Golf Club, Tradition Course,18 holes,Private,(760) 564-1067,"78505 Old Avenue 52 La Quinta, CA 92253 ","18 holes over 6,915 yards with a par of 72 (Private) Write a Review 78505 Old Avenue 52 La Quinta, CA 92253 (760) 564-1067 5 miles from the center of Palm Desert. Write a Review"
Tradition Golf Club, Par-3 Course,9 holes,Private,(760) 564-1067,"78505 Old Avenue 52 La Quinta, CA 92253 ","9 holes (Private) Write a Review 78505 Old Avenue 52 La Quinta, CA 92253 (760) 564-1067 5 miles from the center of Palm Desert. Write a Review"
Bermuda Dunes Country Club, Classic One Course,9 holes,Private,(760) 360-2481,"42765 Adams St Bermuda Dunes, CA 92203-7937 ","9 holes over 3,447 yards with a par of 36 (Private) Write a Review 42765 Adams St Bermuda Dunes, CA 92203-7937 (760) 360-2481 5 miles from the center of Palm Desert. Write a Review"
Bermuda Dunes Country Club, Classic Two Course,9 holes,Private,(760) 360-2481,"42765 Adams St Bermuda Dunes, CA 92203-7937 ","9 holes over 3,480 yards with a par of 36 (Private) Write a Review 42765 Adams St Bermuda Dunes, CA 92203-7937 (760) 360-2481 5 miles from the center of Palm Desert. Write a Review"
Bermuda Dunes Country Club, The Lake Course,9 holes,Private,(760) 360-2481,"42765 Adams St Bermuda Dunes, CA 92203-7937 ","9 holes over 3,269 yards with a par of 36 (Private) Write a Review 42765 Adams St Bermuda Dunes, CA 92203-7937 (760) 360-2481 5 miles from the center of Palm Desert. Write a Review"
Sunnylands Golf Course At Annenberg Retreat, Sunnyland Course,9 holes,Private,(760) 328-2829,"37977 Bob Hope Dr Rancho Mirage, CA 92270-2008 ","9 holes over 3,385 yards with a par of 36 (Private) Write a Review 37977 Bob Hope Dr Rancho Mirage, CA 92270-2008 (760) 328-2829 5 miles from the center of Palm Desert. Write a Review"
The Club At Morningside, Morningside Course,18 holes,Private,(760) 321-1555,"39033 Morningside Dr Rancho Mirage, CA 92270-3050 ","18 holes over 6,851 yards with a par of 72 (Private) Write a Review 39033 Morningside Dr Rancho Mirage, CA 92270-3050 (760) 321-1555 5 miles from the center of Palm Desert. Write a Review"
Big Rock Golf & Pub At Indian Springs, Big Rock Course,18 holes,Public,(760) 200-8988,"79940 Westward Ho Dr Indio, CA 92201-9772 ","18 holes over 6,404 yards with a par of 72 (Public) Write a Review Check Tee Times 79940 Westward Ho Dr Indio, CA 92201-9772 (760) 200-8988 6 miles from the center of Palm Desert. Write a Review Check Tee Times"
SilverRock Resort, SilverRock Course,18 holes,Municipal,(888) 600-7272,"79179 Ahmanson Ln La Quinta, CA 92253-5715 ","18 holes over 7,570 yards with a par of 72 (Municipal) Write a Review Check Tee Times 79179 Ahmanson Ln La Quinta, CA 92253-5715 (888) 600-7272 6 miles from the center of Palm Desert. Write a Review Check Tee Times"
The Citrus Club At PGA West, Citrus Course,18 holes,Private,(760) 564-7620,"50503 Mandarina La Quinta, CA 92253-6510 ","18 holes over 7,121 yards with a par of 72 (Private) Write a Review 50503 Mandarina La Quinta, CA 92253-6510 (760) 564-7620 6 miles from the center of Palm Desert. Write a Review"
Outdoor Resorts Indio, Outdoor Course,18 holes,Private,(800) 892-2992,"80394 Avenue 48 Indio, CA 92201-6508 ","18 holes (Private) Write a Review 80394 Avenue 48 Indio, CA 92201-6508 (800) 892-2992 6 miles from the center of Palm Desert. Write a Review"
Tamarisk Country Club, Tamarisk Course,18 holes,Private,(760) 328-2141,"70240 Frank Sinatra Dr Rancho Mirage, CA 92270-2599 ","18 holes over 7,003 yards with a par of 72 (Private) Write a Review 70240 Frank Sinatra Dr Rancho Mirage, CA 92270-2599 (760) 328-2141 6 miles from the center of Palm Desert. Write a Review"
Ivey Ranch Country Club, Ivey Ranch Course,9 holes,Public,(760) 343-2013,"74580 Varner Rd Thousand Palms, CA 92276-4201 ","9 holes over 2,656 yards with a par of 35 (Public) Write a Review 74580 Varner Rd Thousand Palms, CA 92276-4201 (760) 343-2013 6 miles from the center of Palm Desert. Write a Review Check Tee Times"
Heritage Palms, Heritage Palms Course,18 holes,Public,(760) 772-7334,"44291 Heritage Palms Dr S Indio, CA 92201-2713 ","18 holes over 6,698 yards with a par of 72 (Public) Write a Review Check Tee Times 44291 Heritage Palms Dr S Indio, CA 92201-2713 (760) 772-7334 6 miles from the center of Palm Desert. Write a Review Check Tee Times"
Motorcoach Country Club, Motorcoach Course,9 holes,Private,(760) 863-0789,"80501 Avenue 48 Indio, CA 92201-6511 ","9 holes (Private) Write a Review 80501 Avenue 48 Indio, CA 92201-6511 (760) 863-0789 6 miles from the center of Palm Desert. Write a Review"
Mountain View Country Club, Mountain Course,18 holes,Private,(760) 771-4311,"80375 Pomelo La Quinta, CA 92253-8502 ","18 holes over 7,386 yards with a par of 72 (Private) Write a Review 80375 Pomelo La Quinta, CA 92253-8502 (760) 771-4311 6 miles from the center of Palm Desert. Write a Review"
The Westin Mission Hills Resort Pete Dye Course, Pete Dye Resort Course,18 holes,Public,(760) 328-3198,"71333 Dinah Shore Dr Rancho Mirage, CA 92270-1501 ","18 holes over 6,706 yards with a par of 70 (Public) Write a Review Check Tee Times 71333 Dinah Shore Dr Rancho Mirage, CA 92270-1501 (760) 328-3198 7 miles from the center of Palm Desert. Write a Review Check Tee Times"
The Hideaway Golf Club, Pete Course,18 holes,Private,(760) 777-7400,"80440 Hideaway Club Ct La Quinta, CA 92253-7867 ","18 holes over 7,337 yards with a par of 72 (Private) Write a Review 80440 Hideaway Club Ct La Quinta, CA 92253-7867 (760) 777-7400 7 miles from the center of Palm Desert. Write a Review"
The Hideaway Golf Club, Clive Course,18 holes,Private,(760) 777-7400,"80440 Hideaway Club Ct La Quinta, CA 92253-7867 ","18 holes over 6,963 yards with a par of 72 (Private) Write a Review 80440 Hideaway Club Ct La Quinta, CA 92253-7867 (760) 777-7400 7 miles from the center of Palm Desert. Write a Review"
Tri Palm Estates & Country Club, Tri Palm Course,18 holes,Private,(760) 343-3497,"32610 Desert Moon Dr Thousand Palms, CA 92276-3711 ","18 holes over 5,600 yards with a par of 70 (Private) Write a Review 32610 Desert Moon Dr Thousand Palms, CA 92276-3711 (760) 343-3497 7 miles from the center of Palm Desert. Write a Review"
Tri Palm Estates & Country Club, Par-3 Course,9 holes,Private,(760) 343-3497,"32610 Desert Moon Dr Thousand Palms, CA 92276-3711 ","9 holes over 1,179 yards with a par of 27 (Private) Write a Review 32610 Desert Moon Dr Thousand Palms, CA 92276-3711 (760) 343-3497 7 miles from the center of Palm Desert. Write a Review"
Date Palm Country Club, Date Palm Course,18 holes,Public,(760) 328-1315,"36200 Date Palm Dr Cathedral City, CA 92234-1506 ","18 holes over 3,100 yards with a par of 58 (Public) Write a Review Check Tee Times 36200 Date Palm Dr Cathedral City, CA 92234-1506 (760) 328-1315 7 miles from the center of Palm Desert. Write a Review Check Tee Times"
Mission Hills Country Club, Tournament Course,18 holes,Private,(760) 324-9400,"34600 Mission Hills Dr Rancho Mirage, CA 92270-1375 ","18 holes over 7,221 yards with a par of 72 (Private) Write a Review 34600 Mission Hills Dr Rancho Mirage, CA 92270-1375 (760) 324-9400 7 miles from the center of Palm Desert. Write a Review"
Mission Hills Country Club, Arnold Palmer Course,18 holes,Private,(760) 324-9400,"34600 Mission Hills Dr Rancho Mirage, CA 92270-1375 ","18 holes over 6,743 yards with a par of 72 (Private) Write a Review 34600 Mission Hills Dr Rancho Mirage, CA 92270-1375 (760) 324-9400 7 miles from the center of Palm Desert. Write a Review"
Mission Hills Country Club, Pete Dye Course,18 holes,Private,(760) 324-9400,"34600 Mission Hills Dr Rancho Mirage, CA 92270-1375 ","18 holes over 6,955 yards with a par of 72 (Private) Write a Review 34600 Mission Hills Dr Rancho Mirage, CA 92270-1375 (760) 324-9400 7 miles from the center of Palm Desert. Write a Review"
